"Area geografica","Pobreza personas(%)","Año",""
"Ciudad Autónoma de Buenos Aires"," 1,3","2019",""
"Partidos del GBA","11,3","2019",""
"Gran Mendoza"," 7,9","2019",""
"Gran San Juan"," 3,4","2019",""
"Gran San Luis"," 3,5","2019",""
"Corrientes"," 6,8","2019",""
"Formosa"," 5,8","2019",""
"Gran Resistencia","///","2019",""
"Posadas"," 8,6","2019",""
"Gran Catamarca"," 7,6","2019",""
"Gran Tucumán - Tafí Viejo"," 6,8","2019",""
"Jujuy - Palpalá"," 5,7","2019",""
"La Rioja"," 3,2","2019",""
"Salta"," 7,9","2019",""
"Santiago del Estero - La Banda"," 4,8","2019",""
"Bahía Blanca - Cerri"," 6,6","2019",""
"Concordia"," 4,4","2019",""
"Gran Córdoba","11,0","2019",""
"Gran La Plata"," 5,7","2019",""
"Gran Rosario"," 7,6","2019",""
"Gran Paraná"," 7,3","2019",""
"Gran Santa Fe"," 5,1","2019",""
"Mar del Plata "," 7,0","2019",""
"Río Cuarto"," 4,5","2019",""
"Santa Rosa - Toay"," 5,5","2019",""
"San Nicolás - Villa Constitución"," 8,6","2019",""
"Comodoro Rivadavia - Rada Tilly"," 4,4","2019",""
"Neuquén - Plottier"," 4,4","2019",""
"Río Gallegos"," 2,8","2019",""
"Ushuaia - Río Grande"," 5,1","2019",""
"Rawson - Trelew"," 8,3","2019",""
"Viedma - Carmen de Patagones"," 5,1","2019",""
"","","",""
"","","",""
" 1,3","","",""
"11,3","","",""
" 7,9","","",""
" 3,4","","",""
" 3,5","","",""
" 6,8","","",""
" 5,8","","",""
"///","","",""
" 8,6","","",""
" 7,6","","",""
" 6,8","","",""
" 5,7","","",""
" 3,2","","",""
" 7,9","","",""
" 4,8","","",""
" 6,6","","",""
" 4,4","","",""
"11,0","","",""
" 5,7","","",""
" 7,6","","",""
" 7,3","","",""
" 5,1","","",""
" 7,0","","",""
" 4,5","","",""
" 5,5","","",""
" 8,6","","",""
" 4,4","","",""
" 4,4","","",""
" 2,8","","",""
" 5,1","","",""
" 8,3","","",""
" 5,1","","",""
